"Kategorija";"Od";"Do";"Dolzina";"Vsa vozila"
"R3";"LEMERJE";"SKAKOVCI";"5650";"1150"
"R3";"LEMERJE";"GRAD";"11210";"841"
"R3";"GRAD";"KUZMA";"4695";"850"
"R3";"CANKOVA";"GERLINCI";"5200";"550"
"R3";"PERTOEA";"FIKŠINCI";"4688";"370"
"R3";"ROGAŠOVCI";"KRAMAROVCI";"2953";"650"
"R3";"PETROVCI";"MARTINJE";"10000";"750"
"R3";"MARTINJE";"KUZMA";"6360";"690"
"R3";"KUZMA";"MP KUZMA";"3388";"1100"
"R3";"MP MARTINJE";"MARTINJE";"310";"110"
"R3";"ŠALOVCI";"EEPINCI";"6638";"470"
"R3";"EEPINCI";"MEJA MADŽARSKA";"2524";"100"
"R3";"HODOŠ";"DOMANJŠEVCI";"5055";"150"
"R3";"DOMANJŠEVCI";"BERKOVCI";"3770";"100"
"R3";"BERKOVCI";"KOBILJE";"12943";"360"
"R3";"MARTJANCI";"SEBEBORCI";"3167";"1760"
"R3";"SEBEBORCI";"TRAKŠAROV BREG";"3973";"1000"
"R3";"TRAKŠAROV BREG";"FOKOVCI";"440";"490"
"R3";"FOKOVCI";"PROSENJAKOVCI";"7693";"850"
"R3";"RENKOVCI";"ERENŠOVCI";"8219";"3027"
"R3";"ERENŠOVCI";"RAZKRIŽJE";"6210";"2286"
"R3";"STROEJA VAS";"PAVLOVCI";"13355";"868"
"R3";"RAZKRIŽJE";"MEJA RH";"475";"450"
"R3";"ŠKOFLJICA";"IG";"5325";"4067"
"R3";"IG";"IŠKA VAS";"3800";"1550"
"R3";"IŠKA VAS";"KRIM";"10200";"80"
"R3";"KRIM";"RAKITNA";"5440";"40"
"R3";"HOTIZA";"VELIKA POLANA";"3317";"880"
"R3";"VELIKA POLANA";"LIPA-BELTINCI";"8781";"1582"
"R3";"ŽICE";"SV. ANA-ZG. ŠEAVNICA";"5835";"1190"
"R3";"ZG.ŠEAVNICA";"DRAŽEN VRH";"2235";"150"
"R3";"POLZELA";"PARIŽLJE";"1050";"2300"
"R3";"PARIŽLJE";"BRASLOVEE-M.BRASLOVEE";"2869";"2210"
"R3";"PONDOR";"TABOR";"2388";"420"
"R3";"TABOR";"OJSTRIŠKA VAS-KAPLA";"1645";"300"
"R3";"VAVTA VAS";"DOL.TOPLICE";"4560";"4139"
"R3";"DOL.TOPLICE";"PODTURN";"1730";"1950"
"R3";"CERKVENJAK";"VITOMARCI";"5733";"150"
"R3";"VITOMARCI";"GABRNIK";"6397";"420"
"R3";"MUTA";"VUZENICA";"445";"4200"
"R3";"RAEE";"ŠIKOLE";"5789";"1982"
"R3";"TRŽIŠEE";"HOTEMEŽ";"14480";"800"
"R3";"JANEŽOVSKI VRH";"DESTRNIK";"2210";"560"
"R3";"DESTRNIK";"GOMILCI";"1381";"250"
"R3";"M.SOBOTA(GAJ)";"M.SOBOTA";"2780";"6135"
"R3";"ŠKOFIJE MEJNI PREHOD";"ŠKOFIJE";"1000";"6600"
"R3";"ŠKOFIJE";"R.ŠKOFIJE";"1055";"11940"
"R3";"DEKANI";"PRIKLJ. LUKA KOPER";"2215";"2500"
"R3";"PODPEE";"VNANJE GORICE";"4390";"5007"
"R3";"VNANJE GORICE";"BREZOVICA";"2521";"8279"
"R3";"ŠTORE";"LAŠKA VAS";"2210";"2000"
"R3";"LAŠKA VAS";"SVETINA";"6190";"700"
"R3";"SVETINA";"BRSTNIK";"5200";"280"
"R3";"BRSTNIK";"LAŠKO";"3192";"780"
"R3";"JANEŽOVCI";"DOLGE NJIVE";"9200";"840"
"R3";"DOLGE NJIVE";"SPODNJI DUPLEK";"7520";"900"
"R3";"STARI TRG";"LOŠKI POTOK";"11920";"100"
"R3";"LENART";"SVETA TROJICA";"3284";"1190"
"R3";"SV. TROJICA-COGETINCI";"SP.IVANJCI";"9498";"800"
"R3";"VELIKE LAŠEE";"M SLEVICA";"3000";"1000"
"R3";"M SLEVICA";"LUŽARJI";"8400";"200"
"R3";"LUŽARJI";"NOVA VAS";"6617";"800"
"R3";"VOSEK";"JUROVSKI DOL";"8605";"700"
"R3";"JUROVSKI DOL";"LENART";"7164";"910"
"R3";"SLOVENSKA VAS";"ŠENTRUPERT";"2174";"800"
"R3";"NIZKA";"REEICA OB SAVINJI";"905";"1700"
"R3";"ARCLIN";"LJUBEENA";"4011";"4667"
"R3";"LJUBEENA";"BUKOVŽLAK";"1887";"5146"
"R3";"BUKOVŽLAK";"TEHARJE";"2101";"2300"
"R3";"VOLEE";"SOLARJI";"9103";"135"
"RT";"RATEEE";"PLANICA";"2000";"800"
"RT";"STRMEC";"MANGART";"11710";"50"
"RT";"IDRSKO";"LIVEK";"6960";"170"
"RT";"JEZERO";"ZLATOROG";"4200";"1500"
"RT";"ZLATOROG";"SAVICA";"3890";"270"
"RT";"GORJE";"KRNICA";"2160";"2050"
"RT";"KRNICA";"ZATRNIK";"4000";"1240"
"RT";"ZATRNIK";"MRZLI STUDENEC";"5181";"620"
"RT";"MRZLI STUDENEC";"JEREKA";"16392";"140"
"RT";"MRZLI STUD.";"RUDNO POLJE";"6100";"590"
"RT";"KRNICA";"ZG.RADOVNA";"11756";"300"
"RT";"ZG.RADOVNA";"DOVJE";"6400";"400"
"RT";"KRAJE";"MOJSTRANA";"2000";"1100"
"RT";"MOJSTRANA";"VRATA";"9600";"210"
"RT";"BOH.BISTRICA";"VRESJE";"8260";"660"
"RT";"VRESJE";"SORICA";"9342";"150"
"RT";"SORICA";"PETROVO BRDO";"4250";"200"
"RT";"SORICA";"PODROŠT";"5339";"430"
"RT";"RUDNO";"ROVTARICA";"11510";"350"
"RT";"ROVTARICA";"VRESJE";"7789";"15"
"RT";"ZALI LOG";"DAVEA";"7856";"410"
"RT";"DAVEA";"NOVAKI";"3065";"520"
"RT";"NOVAKI";"CERKNO";"10153";"720"
"RT";"POSTOJNA";"RAKOV.ŠKOC.";"4081";"1500"
"RT";"RAKOV ŠKOCJAN";"PODSKRAJNIK";"7085";"160"
"RT";"IL.BISTRICA";"GRDA DRAGA";"21260";"700"
"RT";"GRDA DRAGA";"PUDOB";"28100";"70"
"RT";"DRAGARJI";"MEDVEDJEK-DRAGA";"17209";"30"
"RT";"KOEEVJE";"ŽELJNE";"2923";"820"
"RT";"ŽELJNE";"ROG-BAZA-PODTURN";"28884";"360"
"RT";"KOT";"GRGELJ";"12314";"200"
"RT";"GRGELJ";"FARA";"11100";"80"
"RT";"PODZEMELJ";"DOLENJCI";"9450";"940"
"RT";"ŽUNIEI";"VINICA";"10340";"620"
"RT";"VINICA";"STARI TRG";"20220";"200"
"RT";"GABRJE";"TRDINOV VRH";"11279";"30"
"RT";"KANDRŠE";"VAEE-SP.HOTIE";"7616";"810"
"RT";"STAHOVICA";"KAM.BISTRICA";"8210";"515"
"RT";"PODLOM";"KR.RAK";"4540";"360"
"RT";"KR.RAK";"LUEE";"11431";"300"
"RT";"SOLEAVA";"PODOLŠEVA-SLEME";"10425";"40"
"RT";"SLEME";"KOPRIVNA";"5917";"50"
"RT";"KOPRIVNA";"ERNA";"7980";"350"
"RT";"ŽIBOVT";"SV.DUH-PODOLŠEVA";"10345";"40"
"RT";"MOZIRJE";"GOLTE";"4350";"1375"
"RT";"SP.HOEE";"ZG.HOEE";"3300";"4406"
"RT";"ZG. HOEE";"POHORSKA VZPENJAEA";"13275";"1230"
"RT";"AREH-ŠUMIK";"OSANKARICA-LUKANJA";"20920";"35"
"RT";"PESEK";"LUKANJA";"9450";"160"
"RT";"LUKANJA";"OPLOTNICA";"9370";"910"
"RT";"RIBNICA";"RIBNIŠKA KOEA";"9710";"120"
"RT";"SL.GRADEC";"SPOLE";"4500";"1260"
"RT";"SPOLE";"PUNGART";"10680";"220"
"RT";"BREG";"LISCA";"4650";"500"
"RT";"LISCA";"JURKLOŠTER";"7536";"360"
"RT";"SEŽANA";"LIPICA";"3494";"1898"
"RT";"LIPICA";"LOKEV";"4139";"1250"
"RT";"FRAM";"KOPIVNIK";"3600";"655"
"RT";"KOPIVNIK";"CESTNIK-AREH";"10300";"50"
"RT";"COL";"PREDMEJA";"14523";"600"
"RT";"BRESTRNICA";"GAJ-SV. JURIJ";"14162";"50"
"RT";"EERMOŠNJICE";"KOMARNA V.-GRIEICE";"6317";"50"
"RT";"MATAVUN";"VREME";"3707";"840"
"RT";"ZAVRHEK";"ARTVIŽE";"14830";"490"
"RT";"ARTVIŽE";"PREGARJE";"8758";"240"
"RT";"PREGARJE";"HARIJE";"7696";"510"
"RT";"GRABONOŠ";"RADENCI";"7399";"2084"
